GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8110115,2022,617,E06000039,Slough,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1009
Local Authority,Gross Current Expenditure,8110115,2022,620,E10000012,Essex,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2730
Local Authority,Gross Current Expenditure,8110115,2022,623,E10000003,Cambridgeshire,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1215
Local Authority,Gross Current Expenditure,8110115,2022,624,E06000031,Peterborough,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,807
Local Authority,Gross Current Expenditure,8110115,2022,703,E09000011,Greenwich,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,107
Local Authority,Gross Current Expenditure,8110115,2022,704,E09000012,Hackney,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,[x]
Local Authority,Gross Current Expenditure,8110115,2022,705,E09000013,Hammersmith and Fulham,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,527
Local Authority,Gross Current Expenditure,8110115,2022,708,E09000022,Lambeth,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2421
Local Authority,Gross Current Expenditure,8110115,2022,710,E09000028,Southwark,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1417
Local Authority,Gross Current Expenditure,8110115,2022,712,E09000032,Wandsworth,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1128
Local Authority,Gross Current Expenditure,8110115,2022,721,E09000008,Croydon,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1233
Local Authority,Gross Current Expenditure,8110115,2022,727,E09000017,Hillingdon,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1187
Local Authority,Gross Current Expenditure,8110115,2022,735,E09000031,Waltham Forest,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,502
Local Authority,Gross Current Expenditure,8110115,2022,807,E10000032,West Sussex,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2524
Local Authority,Gross Current Expenditure,8110115,2022,809,E06000059,Dorset,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,614
Local Authority,Gross Current Expenditure,8110115,2022,817,E06000054,Wiltshire,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1076
Local Authority,Gross Current Expenditure,8110115,2022,902,E06000052,Cornwall,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,3421
Local Authority,Gross Current Expenditure,8110115,2022,904,E10000013,Gloucestershire,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,3025
Local Authority,Gross Current Expenditure,8110115,2022,906,E06000053,Isles of Scilly,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,0
Local Authority,Gross Current Expenditure,8110115,2022,909,E06000023,Bristol City of,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2293
Local Authority,Gross Current Expenditure,8110115,2022,911,E06000025,South Gloucestershire,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1479
Local Authority,Gross Current Expenditure,8110115,2022,913,E06000026,Plymouth,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,343
